x,y
0,0
0.355321,0.351777
0.587979,0.794349
0.912257,1.17493
1.39984,1.28567
1.89135,1.19396
2.256,1.53606
2.09671,2.01001
2.33451,2.44984
2.81239,2.59692
3.31153,2.62621
3.60321,3.03232
4.04732,3.26202
4.5423,3.33273
5.01963,3.48157
5.51961,3.47756
5.94189,3.74529
6.18048,4.1847
6.50766,4.56278
7.00752,4.57463
7.33269,4.95446
7.33269,4.95446
7.3275,5.35523
7.32102,5.85519
7.43992,6.34085
7.68986,6.7739
7.93979,7.20695
8.18973,7.64
8.43966,8.07305
8.6896,8.5061
8.93953,8.93914
9.29302,9.29276
9.64651,9.64638
10,10
